# SECTION,summary
session_id,mode,scenario,poc,total_steps,total_nodes,total_edges,reification_count,avg_abs_v_deviation,dvr_enabled,invert_food,regulating_always,v_low,v_high,v_star,v_init,decay_alpha,beta,bucket_edges_lo,bucket_edges_hi,stick_deadzone
20260605_173452,DVRoff,S1norm,always,61130,19,27,1,0.0,0,0,1,0.4,0.8,0.8,0.8,0.00022,0.001,0.05,0.15,0.3

# SECTION,action_log
seg_idx,action,duration_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick
141,RIGHT,0.16,0.001349,5e-06,-0.0,0.918,1.0
142,FORWARD,0.15,0.001351,6e-06,3e-06,0.9405,0.9716
143,LEFT,0.09,0.001364,7e-06,-1.4e-05,1.0,1.0
144,BACK,0.17,0.001359,5e-06,1e-06,0.9105,0.9305
145,RIGHT,0.16,0.00136,1e-05,4e-06,0.9505,1.0
146,FORWARD,0.2,0.001357,6e-06,-3e-06,0.905,1.0
147,LEFT,0.13,0.001363,1e-06,1e-06,0.8255,1.0
148,BACK,0.09,0.001364,1e-06,-1e-06,0.7563,0.8922
149,RIGHT,0.18,0.001366,5e-06,-1e-06,1.0,1.0
150,FORWARD,0.13,0.001362,3e-06,2e-06,0.9889,1.0
151,LEFT,0.18,0.001364,3e-06,1e-06,0.9564,1.0
152,BACK,0.16,0.001362,4e-06,1e-06,0.9294,0.9328
153,RIGHT,0.27,0.00136,6e-06,-2e-06,1.0,1.0
154,STOP,1.06,0.001356,9e-06,0.0,0.0,0.0
155,FORWARD,0.27,0.001357,5e-06,0.0,0.7892,0.9017
156,RIGHT,0.38,0.001366,7e-06,0.0,0.9469,1.0
157,STOP,0.31,0.001364,5e-06,-1e-06,0.0,0.0
158,LEFT,0.22,0.001383,1.2e-05,-4e-06,0.8793,1.0
159,STOP,7.88,0.001368,1.3e-05,-0.0,0.0,0.0
160,BACK,0.16,0.00139,5e-06,4e-06,0.3459,0.3459
161,STOP,0.5,0.001363,9e-06,2e-06,0.0,0.0
162,LEFT,2.47,0.001372,2.1e-05,-0.0,0.8562,1.0
163,STOP,2.47,0.00136,1.4e-05,0.0,0.0,0.0
164,BACK,0.15,0.001359,3e-06,-4e-06,0.6967,0.8203
165,STOP,59.81,0.002978,0.012311,-1e-06,0.0,0.0
166,RIGHT,0.07,0.002646,3e-06,2e-06,0.6081,0.6081
167,STOP,2.13,0.002635,1.5e-05,0.0,0.0,0.0
168,BACK,0.19,0.002617,1e-05,5e-06,0.8412,0.8544
169,STOP,0.36,0.00261,1.2e-05,-3e-06,0.0,0.0
170,FORWARD,0.19,0.002625,6e-06,-1e-06,0.9673,1.0
171,STOP,7.07,0.002622,2e-05,0.0,0.0,0.0
172,FORWARD,0.09,0.002606,4e-06,-1e-06,0.3687,0.4172
173,STOP,1.41,0.002632,1.6e-05,0.0,0.0,0.0
174,FORWARD,0.03,0.002604,0.0,4e-06,0.3541,0.3541
175,STOP,3.33,0.002622,1.4e-05,-0.0,0.0,0.0
176,ROT_R,0.14,0.002612,1.2e-05,-5e-06,0.3634,0.3736
177,STOP,175.06,0.002621,1.8e-05,0.0,0.0,0.0

# SECTION,action_agg
action,total_dur_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick,segments
STOP,2205.21,0.022717,0.031269,0.000822,0.0,0.0,64
FORWARD,34.68,0.005046,0.008795,0.00011,0.7366,1.0,28
ROT_L,14.68,0.032503,0.035998,0.000295,0.7072,1.0,21
LEFT,9.72,0.024757,0.058222,-0.000195,0.9212,1.0,17
RIGHT,6.17,0.004648,0.012812,3e-06,0.8774,1.0,19
BACK,6.02,0.014067,0.042991,0.000409,0.827,1.0,19
ROT_R,4.29,0.039808,0.042215,-0.002666,0.6924,0.9811,10

# SECTION,nodes
action,tension_bucket,count,mean_dv,std_dv
STOP,L,58781,0.0,1e-05
FORWARD,L,869,2.4e-05,0.001281
STOP,M,299,0.001915,0.012923
ROT_L,M,276,-0.001402,0.005262
LEFT,L,139,-0.000316,0.001598
BACK,L,138,-4.2e-05,0.001215
RIGHT,L,121,-0.000165,0.001101
ROT_L,L,94,-0.001084,0.005025
FORWARD,M,73,-0.001159,0.005076
LEFT,M,72,0.000115,0.00547
STOP,H,56,-0.002561,0.015103
ROT_R,L,54,-0.00168,0.003879
ROT_R,M,43,-0.007583,0.003172
RIGHT,M,38,-0.000457,0.004361
LEFT,H,34,-0.00161,0.005344
ROT_L,H,18,-0.000747,0.003323
BACK,H,12,0.007746,0.007297
ROT_R,H,9,-0.006679,0.001726
BACK,M,4,0.005652,0.001397

# SECTION,reification
from_action,from_bucket,to_action,to_bucket,count,mean_dv,std_dv
FORWARD,M,FORWARD,L,11,0.00207,0.002841
